Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_21,^GSPC_pctchange_yoy,^RUT,^RUT_pctchange_5,^RUT_pctchange_21,^RUT_pctchange_yoy,^VIX,^VIX_pctchange_5,^VIX_pctchange_21,^VIX_pctchange_yoy,GC=F,GC=F_pctchange_5,GC=F_pctchange_21,GC=F_pctchange_yoy,CL=F,CL=F_pctchange_5,CL=F_pctchange_21,CL=F_pctchange_yoy,^TNX,^TNX_pctchange_5,^TNX_pctchange_21,^TNX_pctchange_yoy,^FVX,^FVX_pctchange_5,^FVX_pctchange_21,^FVX_pctchange_yoy
VLO,2018-02-01,2821.98,-0.61,4.68,23.72,1579.87,-1.36,1.93,16.39,13.47,16.32,37.87,12.91,1344.3,-1.33,2.33,10.49,65.8,0.44,8.99,22.9,2.77,4.17,12.0,17.65,2.56,3.6,11.99,36.84
VLO,2018-04-26,2666.94,-0.97,2.08,11.64,1557.89,-1.01,2.93,9.93,16.24,1.75,-27.82,56.76,1316.3,-2.26,-1.86,4.16,68.19,-0.15,4.51,39.25,2.99,1.32,9.44,34.62,2.82,0.93,10.59,55.23
VLO,2018-07-26,2837.44,1.17,4.2,14.62,1695.36,-0.35,1.61,18.26,12.14,-5.67,-23.74,20.08,1225.3,0.24,-2.49,-2.72,69.61,0.22,-1.3,41.95,2.97,2.76,4.42,28.84,2.86,3.25,4.65,49.71
VLO,2018-10-25,2705.57,-2.28,-6.9,5.67,1500.4,-3.87,-11.3,0.2,24.22,20.74,87.9,114.34,1229.1,0.21,2.94,-2.94,67.33,-1.92,-5.92,27.91,3.14,-1.94,1.82,28.95,2.98,-2.36,0.68,33.39
VLO,2019-01-31,2704.1,2.34,7.87,-4.24,1499.42,2.39,11.19,-4.8,16.57,-12.28,-34.82,22.38,1319.7,3.17,3.24,-1.44,53.79,1.24,18.45,-16.9,2.63,-4.29,-0.9,-5.49,2.44,-5.76,-1.69,-6.37
VLO,2019-04-25,2926.17,0.89,3.82,10.86,1575.61,0.51,3.1,1.62,13.25,5.16,-9.74,-25.73,1275.8,0.28,-2.93,-3.44,65.21,2.27,8.79,-4.17,2.53,-1.02,4.97,-12.01,2.33,-1.65,3.88,-15.21
VLO,2019-07-25,3003.67,0.29,2.96,5.54,1561.45,0.37,2.66,-7.34,12.74,-5.84,-21.74,3.66,1413.9,-0.86,-0.07,14.82,56.02,1.3,-3.13,-19.16,2.07,1.27,3.7,-33.14,1.85,2.71,5.46,-37.85
VLO,2019-10-24,3010.29,0.41,0.85,13.33,1548.49,0.43,-0.14,5.43,13.71,-0.58,-14.1,-45.66,1498.9,0.44,-0.38,22.08,56.23,4.26,-0.46,-15.85,1.77,1.09,5.43,-35.62,1.59,1.86,2.32,-38.73
VLO,2020-01-30,3283.66,-1.26,1.94,21.43,1648.22,-2.18,-0.96,9.92,15.49,19.34,4.52,-6.52,1583.5,1.21,4.56,19.99,52.14,-6.21,-15.47,-3.07,1.56,-7.32,-12.86,-38.1,1.38,-8.06,-12.99,-40.52
VLO,2020-04-29,2939.51,5.01,11.91,0.54,1360.76,13.25,17.48,-13.68,31.23,-25.61,-45.29,111.01,1703.4,-1.46,5.02,32.93,15.06,9.29,-25.04,-76.32,0.63,2.28,6.81,-68.27,0.36,-1.9,-1.36,-79.28
VLO,2020-07-30,3246.22,0.33,4.71,9.91,1495.1,0.33,3.73,-3.59,24.76,-5.06,-18.63,38.56,1942.3,2.82,8.33,36.7,39.92,-2.8,1.66,-26.01,0.54,-8.15,-20.91,-66.1,0.23,-16.06,-25.08,-83.92
VLO,2020-10-22,3453.49,-0.86,6.69,14.72,1630.25,-0.53,12.32,5.28,28.11,4.23,-1.64,105.03,1901.1,-0.11,2.22,26.83,40.64,-0.78,1.78,-27.73,0.85,13.98,27.9,-55.49,0.38,17.55,40.98,-78.26
VLO,2021-01-28,3787.38,-1.7,1.39,15.34,2106.61,-1.63,5.53,27.81,30.21,41.7,39.22,95.03,1837.9,-1.47,-2.09,16.07,52.34,-1.49,9.91,0.38,1.06,-3.12,15.27,66.46,0.43,-0.92,19.11,16.53
