Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
CVS,2017-08-08,2017-08-08,1.31,1.33,1.76
CVS,2017-11-06,2017-11-06,1.49,1.5,1.01
CVS,2018-02-14,2018-02-08,1.89,1.92,1.75
CVS,2018-05-02,2018-05-02,1.41,1.48,5.04
CVS,2018-08-08,2018-08-08,1.61,1.69,4.97
CVS,2018-11-06,2018-11-06,1.71,1.73,0.99
CVS,2019-02-28,2019-02-20,2.05,2.14,4.39
CVS,2019-05-01,2019-05-01,1.5,1.62,7.78
CVS,2019-08-07,2019-08-07,1.69,1.89,11.57
CVS,2019-11-06,2019-11-06,1.77,1.84,4.01
CVS,2020-02-18,2020-02-12,1.68,1.73,2.79
CVS,2020-05-06,2020-05-06,1.63,1.91,17.39
CVS,2020-08-05,2020-08-05,1.93,2.64,36.86
CVS,2020-11-06,2020-11-06,1.33,1.66,24.81
CVS,2021-02-16,2021-02-16,1.24,1.3,5.09
CVS,2021-05-04,2021-05-04,1.72,2.04,18.95
DG,2016-08-25,2016-08-25,1.09,1.08,-0.92
DG,2016-12-01,2016-12-01,0.93,0.89,-3.99
DG,2017-03-24,2017-03-16,1.41,1.49,5.45
DG,2017-06-01,2017-06-01,1.0,1.03,3.41
DG,2017-08-31,2017-08-31,1.09,1.1,0.64
DG,2017-12-07,2017-12-07,0.94,0.93,-0.85
DG,2018-03-23,2018-03-15,1.48,1.48,-0.07
DG,2018-05-31,2018-05-31,1.4,1.36,-3.06
DG,2018-08-30,2018-08-30,1.49,1.52,1.88
DG,2018-12-04,2018-12-04,1.26,1.26,-0.16
DG,2019-03-22,2019-03-14,1.88,1.84,-2.23
DG,2019-05-30,2019-05-30,1.39,1.48,6.78
DG,2019-08-29,2019-08-29,1.57,1.74,10.55
DG,2019-12-05,2019-12-05,1.38,1.42,2.68
DG,2020-03-19,2020-03-12,2.01,2.1,4.32
DG,2020-05-28,2020-05-28,1.74,2.56,46.87
DG,2020-08-27,2020-08-27,2.44,3.12,27.61
DG,2020-12-03,2020-12-03,2.0,2.31,15.38
